ID,NAME
7187,Nexus
6902,GODSENT
9881,Rooster
4773,paiN
11737,EYEBALLERS
10453,ex-BLUEJAYS
11340,Davenport University
11298,Strife
11948,Nouns
12180,Tsunami
12129,Angels
12186,GUILD
8008,Grayhound
11309,00NATION
11764,MVP
11920,Astralis fe
8135,FORZE
11861,Aurora
11681,Nigma Galaxy
11917,NIP Impact
11419,ECSTATIC
10737,HONORIS
11241,B8
6667,FaZe
4411,Ninjas in Pyjamas
10577,SINNERS
11716,Iron Branch
9943,ATK
7461,Copenhagen Flames
10333,Sangal
11176,MOUZ NXT
11501,HEET
8068,AGO
10621,1WIN
8637,Sprout
12182,DomiNation
12168,HYDRA
9928,GamerLegion
11838,Partizan
9565,Vitality
10503,OG
9506,Viperio
12117,Let us cook
11425,PROSPECTS
10254,BIG Academy
11827,JANO
7900,Spirit Academy
11283,Falcons
11164,Into the Breach
12189,Detonate SparX
11868,EG Gold
12191,byte
12190,Shimmer
10976,FURIA fe
10975,MIBR fe
11535,Black Dragons fe
12188,LRV fe
11006,9z Academy
12170,Mad Kings Academy
9806,Apeks
3044,MIBR Academy
10793,Meta Academy
12178,Aces
11718,BIG EQUIPA
11464,PALOMA
11675,NAVI Javelins
12185,G2 Oya
10278,9INE
11811,Monte
11026,VOYVODA
12184,ODLOTOWE AGENTKI
8813,Illuminar
12183,The Witchers
10999,EC Brugge
7234,Endpoint
11518,Bad News Eagles
12172,ex-Villainous
10464,timbermen
11826,Vendetta
8294,Sharks Youngsters
12171,Doxa Academy
11278,Coalesce
11060,EPIC DUDES
12028,The Prodigies
8885,FURIA Academy
11905,paiN Academy
11778,flowstate
11458,Eternal Fire Academy
11331,Websterz
10960,Young Ninjas
9802,Budapest Five
9735,Lilmix
12124,Insilio
12099,Mixfits
4602,Tricked
7865,HAVU
12095,Into the Bin
8064,undefined
7244,K23
7718,Movistar Riders
11388,Limitless
6947,TeamOne
9466,GTZ
12000,500
11609,GenOne
10954,Astralis Talent
12174,Departed
12175,n00rg
4501,ALTERNATE aTTaX
7532,BIG
12031,9 Pandas Fearless
12179,SO HARD TO REG
4494,MOUZ
7175,Heroic
5005,Complexity
4803,iNation
10567,SAW
11569,Fourteen
11790,ENCE Academy
8297,FURIA
7379,FTW
10867,MASONIC
11053,Wizard
11243,Apeks Rebels
4695,TMVG
9455,Imperial
11596,Enhanced
11553,Dripmen
11660,Take Flyte
4674,LDLC
8488,INFURITY
11893,SD Invicta
10943,777
11514,Rare Atom
12097,Eruption
8840,Lynn Vision
4863,TYLOO
7441,ECLOT
11735,EG Black
11336,Detonate
12068,Katuna
5479,Mythic
12154,yur
11538,REIGN
12115,Noxious
12091,INVSN
10831,Entropiq
12088,GR
12009,Permitta
11273,Steel Helmet
12167,TOP5
11795,Villainous
11502,Disconnected
11523,Zero Tenacity
11712,Sashi
11982,IKLA
11832,Lord Rabbit
12158,Vladivostok
11135,NKT
10839,Newhappy
11251,Eternal Fire
4991,fnatic
12107,sYnck
12169,MCE
11595,Outsiders
5752,Cloud9
12163,ex-Rapid Ninjas
12166,Twisted Minds
11855,Ooredoo Thunders
11585,IHC
10854,los kogutos
12039,Arctic Raptors
11059,Renewal
9996,9z
12003,eMasters
12087,Lazer Cats
12050,RedPack
9215,MIBR
10973,Anonymo
11664,Atlantic
12046,Route8
10396,Divine Vendetta
11628,ThunderFlash
5995,G2
7914,En av de lette
11134,CEPTER
10817,Invictus International
10905,PGE Turow
12165,GhostFaces
10399,Evil Geniuses
11797,Hard
11414,Fjerritslev Gymnasium
5158,Bravado
11837,Fluxo
11814,Corinthians
10857,DNMK
8193,Goliath
11768,ODDIK
10994,O PLANO
8113,Sharks
7176,RED Canids
5347,BLUEJAYS
11882,GRGECHI
11581,HOTU
12094,TENSTAR
11734,EG White
12162,caffeine marauders
12132,Fuscão 1500
11540,Benched Heroes
10669,Paquetá
12065,Flamengo
11889,Forward
11607,BIOS
4869,ENCE
12160,Take me away
11726,Encore
10672,VERTEX
6619,INTZ
12077,4ORMULA
11561,ARCTIC
12144,BESTIA
11608,WINDINGO
6665,Astralis
12111,Kintsugi
11624,Antic
12161,ParisDemons
11656,Clutch
12157,ILIN
